,XIV,,,,SVXY,ZIV,SVXY + ZIV
2017-04-17,1094786.429775,-0.291,GLD - 1.00,,1081121.85272,368244.70449,572954.328304999
2017-04-18,1099928.727507,0.47,GLD - 1.00,,1086199.77023,369974.270454,575645.537584999
2017-04-19,1090264.814105,-0.879,GLD - 1.00,,1076656.846495,366723.8994,570587.951504999
2017-04-20,1092303.958641,0.187,GLD - 1.00,,1078670.691471,367409.747472,571655.132944999
2017-04-21,1095407.049775,0.284,GLD - 1.00,,1081735.282715,368453.44449,573279.128304999
2017-04-24,1088048.314105,-0.672,None - 0.00,,1074468.67649,365978.3994,569427.951504999
2017-04-25,1088048.314105,0,XIV - 1.00,,1074468.67649,365978.3994,569427.951504999
2017-04-26,1078429.794105,-0.884,XIV - 1.00,,1062816.390804,362955.473802,563946.445610999
2017-04-27,1088910.404105,0.972,XIV - 1.00,,1074177.130463,363627.250596,567621.779536999
2017-04-28,1088910.404105,0,XIV - 1.00,,1073810.690806,365194.684998,568668.801324999
2017-05-01,1131260.604105,3.889,XIV - 1.00,,1115879.077516,374655.277008,587392.120264999
2017-05-02,1126525.104105,-0.419,XIV - 1.00,,1111410.202864,371409.624988,583759.654182999
2017-05-03,1104711.584105,-1.936,XIV - 1.00,,1089137.701476,368835.010585,575631.774707999
2017-05-04,1132271.264105,2.495,XIV - 1.00,,1117057.352164,372864.817003,586408.679363999
2017-05-05,1125383.264105,-0.608,XIV - 1.00,,1110610.560076,369226.800585,581934.823617999
2017-05-08,1152076.124105,2.372,XIV - 1.00,,1139916.560076,366708.1226,588297.553092999
2017-05-09,1157384.884105,0.461,XIV - 1.00,,1141894.087182,365532.548198,587989.695070499
2017-05-10,1153654.664105,-0.322,XIV - 1.00,,1137645.862533,363517.268198,585321.765965999
2017-05-11,1156811.224105,0.274,XIV - 1.00,,1140502.417533,366540.193796,588338.945070999
2017-05-12,1157241.634105,0.037,XIV - 1.00,,1142699.782182,362565.619394,586040.433279999
2017-05-15,1181057.654105,2.058,XIV - 1.00,,1165478.991831,365420.61059,594516.238093499
2017-05-16,1193823.814105,1.081,XIV - 1.00,,1176829.656477,363517.268198,596301.465781499
2017-05-17,983125.144105,-17.649,XIV - 1.00,,964052.365765,347395.044992,524850.846301499
2017-05-18,1005117.364105,2.237,GLD - 1.00,,989370.161411,354172.249391,536912.216472999
2017-05-19,1010058.647605,0.492,None - 0.00,,994234.154387,355913.351195,539551.304364999
2017-05-22,1010058.647605,0,XIV - 1.00,,994234.154387,355913.351195,539551.304364999
2017-05-23,1011358.947605,0.129,XIV - 1.00,,995029.174634,353898.72842,538359.982050999
