Date,Equity,dayProfit%,dayProfit%,,
2010-04-26,1207376.17439,-1.237,XIV - 1.00 - false,,
2010-04-27,1072578.15439,-11.165,XIV - 1.00 - false,,
2010-04-28,1084973.31439,1.156,XIV - 0.20 - false,,
2010-04-29,1094888.07439,0.914,XIV - 1.00 - false,,
2010-04-30,1001903.57439,-8.493,XIV - 1.00 - false,,
2010-05-03,1037802.77439,3.583,None - 0.00 - false,,
2010-05-04,1037802.77439,0,XIV - 1.00 - false,,
2010-05-05,991843.104389999,-4.429,None - 0.00 - true,,
2010-05-06,1021140.921624,2.954,None - 0.00 - false,,
2010-05-07,1021140.921624,0,XIV - 1.00 - false,,
2010-05-10,1165559.181624,14.143,None - 0.00 - true,,
2010-05-11,1196190.391276,2.628,None - 0.00 - true,,
2010-05-12,1203525.99145,0.613,None - 0.00 - true,,
2010-05-13,1195199.031798,-0.692,None - 0.00 - true,,
2010-05-14,1193315.611363,-0.158,None - 0.00 - true,,
2010-05-17,1183303.461537,-0.839,None - 0.00 - true,,
2010-05-18,1184592.121798,0.109,None - 0.00 - false,,
2010-05-19,1184592.121798,0,VXX - 1.00 - false,,
2010-05-20,1348800.761798,13.862,VXX - 1.00 - false,,
2010-05-21,1319227.641798,-2.193,VXX - 1.00 - false,,
2010-05-24,1311834.361798,-0.56,VXX - 1.00 - false,,
2010-05-25,1255022.841798,-4.331,None - 0.00 - true,,
2010-05-26,1266892.071798,0.946,None - 0.00 - true,,
2010-05-27,1269244.542491,0.186,None - 0.00 - true,,
2010-05-28,1271276.159026,0.16,None - 0.00 - true,,
2010-06-01,1282290.023877,0.866,None - 0.00 - false,,
2010-06-02,1282290.023877,0,None - 0.00 - true,,
2010-06-03,1262806.923877,-1.519,None - 0.00 - true,,
2010-06-04,1275974.105992,1.043,None - 0.00 - false,,
2010-06-07,1275974.105992,0,VXX - 1.00 - false,,
2010-06-08,1231964.633992,-3.449,None - 0.00 - true,,
2010-06-09,1227484.97363,-0.364,None - 0.00 - true,,
2010-06-10,1211297.214173,-1.319,None - 0.00 - true,,
2010-06-11,1221885.464354,0.874,None - 0.00 - true,,
2010-06-14,1217711.21363,-0.342,None - 0.00 - true,,
2010-06-15,1231862.80363,1.162,None - 0.00 - true,,
2010-06-16,1225143.384354,-0.545,None - 0.00 - true,,
2010-06-17,1241127.554354,1.305,None - 0.00 - true,,
2010-06-18,1250595.884354,0.763,None - 0.00 - true,,
2010-06-21,1225754.213811,-1.986,None - 0.00 - true,,
2010-06-22,1236546.053449,0.88,None - 0.00 - true,,
2010-06-23,1231455.553449,-0.412,None - 0.00 - true,,
2010-06-24,1235018.964535,0.289,None - 0.00 - true,,
2010-06-25,1249883.214354,1.204,None - 0.00 - false,,
2010-06-28,1249883.214354,0,XIV - 0.45 - false,,
2010-06-29,1194787.464354,-4.408,None - 0.00 - true,,
2010-06-30,1198826.81391,0.338,None - 0.00 - true,,
2010-07-01,1153113.543762,-3.813,None - 0.00 - true,,
2010-07-02,1167398.914206,1.239,None - 0.00 - false,,
2010-07-06,1167398.914206,0,XIV - 0.45 - false,,
2010-07-07,1201097.014206,2.887,XIV - 1.00 - false,,
2010-07-08,1222804.384206,1.807,XIV - 1.00 - false,,
2010-07-09,1242096.384206,1.578,XIV - 1.00 - false,,
2010-07-12,1273440.944206,2.524,XIV - 1.00 - false,,
2010-07-13,1280672.504206,0.568,XIV - 1.00 - false,,
2010-07-14,1242106.264206,-3.011,XIV - 1.00 - false,,
2010-07-15,1232461.704206,-0.776,XIV - 1.00 - false,,
2010-07-16,1174589.784206,-4.696,XIV - 1.00 - false,,
